page_url,제품명,제품 소개,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-긴팔-크롭-탑-MVpJND1j/HF5323-338,여성 슬림 긴팔 크롭 탑,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-여성-니트-긴팔-크롭-탑-yG8hM1SU/HQ2974-010,여성 니트 긴팔 크롭 탑,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/acg-여성-드라이-핏-루즈-반팔-티셔츠-RPqNRlLJ/HF3281-010,여성 드라이 핏 루즈 반팔 티셔츠,나이키 ACG,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/프로-여성-드라이-핏-긴팔-크롭-티셔츠-ID86JiGa/HF0775-100,여성 드라이 핏 긴팔 크롭 티셔츠,나이키 프로,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/조던-헤리티지-여성-그래픽-티셔츠-T2igfb7X/HQ2673-133,여성 그래픽 티셔츠,조던 헤리티지,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/조던-여성-오버사이즈-그래픽-티셔츠-dC5GHsth/FV7120-100,여성 오버사이즈 그래픽 티셔츠,조던,탑 & 티셔츠,그래픽 티셔츠,"69,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/acg-여성-루즈-그래픽-티셔츠-AUt2R9mk/FV7326-010,여성 루즈 그래픽 티셔츠,나이키 ACG,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,0,1,0,0
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-오버사이즈-티셔츠-XGfd02HE/HQ3011-003,여성 오버사이즈 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-루즈-반팔-크롭-티셔츠-59IH6h08/FZ2856-478,여성 루즈 반팔 크롭 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,1,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-링거-티셔츠-aduBozVZ/HJ6872-100,여성 링거 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-크롭-티셔츠-g0lffSCz/HF8820-010,여성 슬림 크롭 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/sb-로고-스케이트보딩-티셔츠-Cyk3B5V9/DC7818-010,로고 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-크롭-티셔츠-XfMvOqRR/BV6176-100,여성 크롭 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/티셔츠-a4kPACql/HV9489-010,티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-슬림-핏-크롭-티셔츠-g2AAm0KW/FB2874-474,여성 슬림 핏 크롭 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-로고-티셔츠-dKKrwduj/DX7907-100,여성용 로고 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,0,0,1,1
https://www.nike.com/kr/t/sb-스케이트보딩-티셔츠-9iuZr3Hz/FZ4109-100,스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-티셔츠-TZWJPvo1/HV9487-010,티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-프리미엄-에센셜-남성-티셔츠-kxhNK9v6/DO7393-010,남성 티셔츠,나이키 스포츠웨어 프리미엄 에센셜,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-티셔츠-fw2OtXPY/HM4625-663,여성 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-박시-티셔츠-YDJePold/DD1238-634,여성 박시 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,0,1,0,1
https://www.nike.com/kr/t/에어-조던-워드마크-85-남성-티셔츠-Uf95fsbq/HF3447-085,남성 티셔츠,에어 조던 워드마크 85,탑 & 티셔츠,그래픽 티셔츠,"69,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/드라이-핏-여성-티셔츠-JeudaG3V/DX0688-100,여성 티셔츠,나이키 드라이 핏,탑 & 티셔츠,그래픽 티셔츠,"39,000 원",W,0,0,1,0,0
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-티셔츠-kdwsDjZe/FV5509-010,여성 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,0,0,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-티셔츠-JEK8ZbjZ/HQ4329-100,여성 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-클럽-남성-티셔츠-62l1iPuq/AR4999-371,남성 티셔츠,나이키 스포츠웨어 클럽,탑 & 티셔츠,그래픽 티셔츠,"39,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/sb-usa-스케이트보딩-티셔츠-rrhGhRAe/FZ8935-417,스케이트보딩 티셔츠,나이키 SB USA,탑 & 티셔츠,그래픽 티셔츠,"49,000 원",W,0,0,1,1,1
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-슬림-긴팔-크롭-그래픽-티셔츠-Kyw0NxhQ/FZ2859-010,여성 슬림 긴팔 크롭 그래픽 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,그래픽 티셔츠,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/여성-티셔츠-8NB8nXwX/HV9497-010,여성 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/여성-티셔츠-iqPncRZ8/HV9495-010,여성 티셔츠,나이키,탑 & 티셔츠,그래픽 티셔츠,"45,000 원",W,0,0,0,1,0
https://www.nike.com/kr/t/sb-긴팔-스케이트보딩-티셔츠-HkXGaOdP/HF0036-100,긴팔 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,그래픽 티셔츠,"65,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/조던-여성-그래픽-걸프렌드-티셔츠-HJ3HZVl0/FV7123-100,여성 그래픽 걸프렌드 티셔츠,조던,탑 & 티셔츠,그래픽 티셔츠,"69,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-티셔츠-Vsz31Xnc/HQ4327-685,여성 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,그래픽 티셔츠,"55,000 원",W,0,1,1,1,0
